Elapsed time (s),Therm 1 Temp (C),Therm 2 Temp (C),Battery Voltage (V),Payload Current (A),Sun Angle (degrees)
130.08,29.293,28.525,8.198,1.255,-7.2
130.17,29.206,28.525,8.198,1.255,-7.2
130.4,29.206,28.525,8.208,1.255,-7.2
130.62,28.683,27.915,8.188,1.245,-14.4
130.84,29.206,28.525,8.188,1.255,-21.6
130.96,29.206,28.525,8.188,1.255,-28.8
131.07,29.293,28.525,8.009,1.056,-28.8
131.18,29.206,28.525,8.198,1.245,-28.8
131.27,29.206,28.525,8.198,1.255,-28.8
131.39,29.206,28.525,8.019,1.066,-28.8
131.49,29.206,28.525,8.198,1.265,-28.8
131.61,29.206,27.915,8.198,1.255,-28.8
131.82,29.206,28.525,8.656,1.693,-28.8
131.93,29.206,29.318,8.198,1.255,-36
132.04,29.998,28.35,8.188,1.245,-36
132.14,29.644,29.318,8.198,1.255,-36
132.34,29.293,28.525,8.198,1.255,-36
132.7,29.206,28.613,8.606,1.654,-43.2
132.81,29.293,28.613,8.178,1.086,0
132.89,29.293,28.613,8.168,1.275,0
133.11,29.293,28.613,8.019,1.106,0
133.34,29.206,28.613,8.178,1.086,7.2
133.56,29.206,28.613,8.178,1.285,14.4
133.78,29.206,28.613,8.168,1.275,21.6
133.89,29.206,28.613,8.188,1.275,28.8
134,29.206,28.613,8.178,1.265,28.8
134.13,29.206,28.613,8.178,1.285,28.8
134.2,29.206,28.613,8.417,1.504,28.8
134.28,29.206,28.613,8.188,1.275,28.8
134.41,29.206,28.613,8.178,1.285,28.8
134.49,29.206,28.613,8.686,1.773,28.8
134.58,29.206,28.7,8.178,1.275,28.8
134.81,29.293,27.915,8.178,1.275,28.8
135.03,29.206,28.7,8.278,1.325,21.6
135.25,29.206,28.7,8.198,1.185,14.4
135.6,29.206,28.7,8.178,1.126,0
135.83,29.206,28.7,8.357,1.444,0
136.06,29.206,28.7,8.278,1.325,-7.2
136.18,29.206,28.7,8.198,1.255,-14.4
136.39,29.206,28.7,8.188,1.255,-14.4
136.62,29.206,28.7,8.178,1.275,-7.2
136.71,29.206,28.7,8.208,1.255,-14.4
136.95,29.293,28.7,8.058,1.106,-14.4
137.05,29.206,28.089,8.198,1.255,-21.6
137.29,29.998,28.7,8.198,1.255,-21.6
137.62,29.293,28.7,8.447,1.524,0
137.85,29.206,28.788,8.178,1.275,0
137.97,29.293,28.7,8.646,1.693,-7.2
138.06,29.293,28.7,8.447,1.484,-7.2
138.28,29.293,28.7,8.198,1.185,-7.2
138.52,29.293,28.7,8.198,1.245,-14.4
138.74,29.293,28.7,8.188,1.275,-7.2
142.63,29.293,28.788,8.208,1.255,-14.4
142.98,29.206,28.788,8.168,1.424,0
143.42,29.206,28.788,8.178,1.285,0
144.38,29.206,28.788,8.178,1.275,0
144.61,29.206,28.788,8.178,1.275,0
144.83,28.51,28.089,8.168,1.275,7.2
145.18,29.206,28.788,8.178,1.285,14.4
145.28,30.087,28.788,8.168,1.275,0
145.41,29.206,28.788,8.686,1.773,0
145.49,29.206,28.788,8.178,1.275,0
145.58,29.206,28.089,8.178,1.285,0
145.7,29.206,28.788,8.606,1.693,0
145.79,29.206,28.788,8.188,1.285,0
145.9,29.206,28.788,8.178,1.285,0
146,29.206,28.876,8.188,1.275,0
146.22,29.293,28.876,8.178,1.086,0
146.32,29.293,28.876,8.178,1.086,7.2
146.44,29.293,28.876,8.278,1.355,7.2
146.53,29.293,28.876,8.188,1.285,7.2
146.62,29.206,28.876,8.178,1.275,7.2
146.74,29.293,28.876,8.178,1.245,7.2
146.83,29.293,28.876,8.606,1.693,7.2
147.06,29.293,28.876,8.188,1.275,7.2
147.17,29.293,28.876,8.168,1.275,14.4
147.26,30.087,29.764,8.178,1.275,14.4
147.39,29.293,28.876,8.178,1.165,14.4
147.48,29.293,28.876,8.188,1.275,14.4
147.69,29.293,28.964,8.168,1.275,14.4
147.81,29.293,29.764,8.178,1.275,21.6
147.9,29.293,28.964,8.178,1.275,21.6
